source_id,source_name,country_or_region,trust_category,access_status,allowed_for_model_training,allowed_for_dashboard,allowed_for_regional_context,patient_level_available,molecular_fields_available,treatment_outcome_available,curation_status,mandatory_label,notes
LIT_India_41988621,Incidence and Radiological Spectrum of Interstitial Lung Disease in Patients With Lung Cancer Treated With Tyrosine Kinase Inhibitors: A Single-Center Observational Study.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_41793689,Genomic Analysis and Clinical Correlation of Non-Small Cell Lung Cancer with Special Reference to Brain Metastasis.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_41975817,Investigation of the Prevalence of Associated Genetic Mutations (Co-Mutations) in Patients with Actionable Driver Mutations in Lung Cancer: A Retrospective Study.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_42074236,Decoding Prognostic Signatures in Brain Metastatic Non-Small-Cell Lung Cancer via Integrated Multi-Omics and Network Analysis.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_42206169,The combination of osimertinib and chemotherapy successfully enabled surgical resection of locally advanced lung adenocarcinoma: a Case Report.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_41825247,Three years of chemotherapy tolerance with concurrent Ayurvedic treatment in a metastatic lung adenocarcinoma: A case report.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41933854,The role of germline mutations in non-small cell lung cancer: A systematic review of emerging genetic drivers and clinical implications.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41682625,The Effects of Variant Allele Frequency for EGFR Mutation on Early Tumor Shrinkage and Deepness of Response to Osimertinib in Patients with Metastatic Non-Small Cell Lung Cancer: An Exploratory Analysis.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41555859,Actionable driver gene alterations in early-stage non-small cell lung cancer: a review.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_42079860,"The evolving landscape of first-line and subsequent therapies in &lt;i&gt;EGFR&lt;/i&gt;-mutated NSCLC: efficacy, resistance, and tolerability.",Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_42100320,Non-small cell lung cancer after EGFR-TKI resistance: from drug resistance mechanisms to precision interventions.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41977137,Longitudinal Whole-Exome Sequencing of Cell-Free DNA Reveals Molecular Evolution and Heterogeneous Clinical Outcomes in PD-L1 Stratified Advanced NSCLC Adenocarcinoma Patients Treated with Atezolizumab.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41780641,Osimertinib plus datopotamab deruxtecan in patients with EGFR-mutated advanced NSCLC after progression on first-line osimertinib: ORCHARD.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41971422,Case Report: Olaparib combined with temozolomide and atezolizumab in a case of &lt;i&gt;BRCA2&lt;/i&gt;-mutated small-cell transformation of lung adenocarcinoma.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_42095156,Radiogenomic approach combining CT-based radiomics and liquid biopsy improves prognostic stratification in patients with advanced NSCLC.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41898505,Oligoprogression in NSCLC with Other Actionable Oncogenic Drivers Beyond EGFR and ALK: An Emerging Entity.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_42081971,Surgical management of the primary tumor in stage M1a-IVA non-small cell lung cancer.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41924607,BRAF class II-III mutations in NSCLC: a single center experience.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41828557,&lt;i&gt;HER2&lt;/i&gt; Alterations in Non-Small Cell Lung Cancer: Emerging Perspectives on the Therapeutic Landscape.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Italy_41714428,Peritoneal carcinomatosis in metastatic Non-Small Cell Lung Cancer: review of the literature.,Italy,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42090048,Epidemiology and Real-World Outcomes in Patients with Human Epidermal Growth Factor Receptor 2 (HER2)-Mutant Non-small Cell Lung Cancer by Region: A Targeted Literature Review.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42205705,Initial biomarker testing strategies and clinical outcomes in advanced non-small cell lung cancer.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42170286,TROP2 expression as a prognostic predictor for osimertinib in patients with &lt;i&gt;EGFR&lt;/i&gt;-mutant non-small cell lung cancer.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42158804,A Durable Response to Low-Dose Afatinib After Progression on Osimertinib in Advanced Epidermal Growth Factor Receptor (EGFR) L861Q-Mutated Lung Adenocarcinoma: A Case Report.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42180114,Case Report: Immune checkpoint inhibitor plus chemotherapy benefited an elderly patient with non-small cell lung cancer following EGFR-TKI resistance.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42120295,Prognostic Value of EGFR Mutation Subtypes After Linac-Based Stereotactic Radiosurgery or Fractionated Stereotactic Radiotherapy for Brain Metastasis From EGFR-Mutated Non-Small Cell Lung Cancer.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42033063,Efficacy of Osimertinib in Patients With Postoperative Recurrent Non-Small-Cell Lung Cancer Harboring Sensitizing EGFR Mutations.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_41687194,Biomarker analyses to predict benefit of immune checkpoint inhibitors for EGFR-mutated non-small cell lung cancer.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42143548,Response to trastuzumab deruxtecan in postoperative recurrent lung adenocarcinoma harboring concurrent EGFR and HER2 mutations after progression on adjuvant osimertinib.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42172559,Clinicogenomic Landscape of &lt;i&gt;MTAP&lt;/i&gt;-Deleted Thoracic Malignancies Across US and Japanese Nationwide Cohorts: Impact of Concurrent &lt;i&gt;CDKN2A&lt;/i&gt; Alterations and Driver Mutations.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42022512,A Rare Case of Anti-Yo Antibody Positive Paraneoplastic Neurologic Syndromes With EGFR Mutation Positive Non-Small Cell Lung Cancer.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_41438805,Cancer-associated thromboses in non-small cell lung cancer patients with &lt;i&gt;epidermal growth factor receptor&lt;/i&gt; mutation.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42002533,Pleomorphic Carcinoma With EGFR and Concomitant Mutations Transformed From Lung Adenocarcinoma: A Case Report.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42088317,"Leptomeningeal metastatic disease responding to carboplatin, pemetrexed, and amivantamab after progression to osimertinib in EGFR exon 21 L858R-Mutated non-small cell lung cancer: Two case reports.",Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_41671628,Amivantamab plus chemotherapy versus chemotherapy for first-line treatment of participants with EGFR exon 20 insertion-mutated advanced non-small cell lung cancer: PAPILLON Asia subgroup analysis.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_41808710,Osimertinib opens the door for patients with &lt;i&gt;EGFR&lt;/i&gt;-mutated advanced non-small cell lung cancer and a poor performance status: comment on the OPEN/TORG2040 trial.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_41574789,Role of clonal lineage analysis via next-generation sequencing in identifying the origin of multiple cancers and guiding treatment options.,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Japan_42232598,Identification of <i>BRCA2</i> Likely Germline Pathogenic Variants in Patients with Multiple Primary Lung Adenocarcinomas. ,Japan,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_41425682,"Non-small Cell Lung Cancer in Women: Experience From the National Institute of Oncology, Rabat, Morocco.",Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_38828424,Molecular analysis of genetic mutations in non-small cell lung cancer in Morocco.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_41149132,NSCLC EGFR Mutation Prediction via Random Forest Model: A Clinical-CT-Radiomics Integration Approach.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_39285702,Molecular Testing for &lt;i&gt;EGFR&lt;/i&gt; Mutation in Moroccan NSCLC Patients: CHU Hassan II-Fez Experience.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_40302095,The Predictive Significance of Galectin 3 Expression in Patients with Unresectable Non-Small Cell Lung Cancer without EGFR or ALK Mutations Treated Platinum-Based Doublet Chemotherapy.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_41656191,Updated incidence of EGFR mutation in Middle Eastern patients with non-small cell lung cancer: a 7-year study in a Lebanese institution.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_41064668,"Epidemiological, pathological, and molecular characteristics of lung cancer in Casablanca, Morocco: a retrospective study.",Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_40297021,Potency and Safety of &lt;i&gt;KRAS&lt;/i&gt; G12C Inhibitors in Solid Tumors: A Systematic Review.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_41045728,Correlation between TTF-1 expression and EGFR mutations in moroccan lung adenocarcinoma: A prospective six-year study.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_39113087,Complete response in a lung adenocarcinoma with pleural metastases initially treated with gefitinib and switched to osimertinib after cerebral oligo-progression with unknown T790M mutation: a case report and review of literature.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_39205582,Immunotherapy and PD-L1 Tumor Expression in Moroccan Non-Small Cell Lung Cancer Patients with Various Metastasis.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_41878016,The Role of PD-L1 in Lung Cancer: From Biology to Clinical Application.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_41089817,Failure of oral anti-Xa to prevent non-bacterial thrombotic endocarditis in cancer: case report and literature review.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Morocco_42073601,Integrated Characterization of AP-2δ Reveals Distinct Regulatory Architecture in Lung Adenocarcinoma and Lung Squamous Cell Carcinoma.,Morocco,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_41584721,The Landscape of CEACAM5 Expression by Immunohistochemistry in NSCLC.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_39524461,Case Series: EGFR and ROS-1 Co-Occurrence in Advanced Non-Small Cell Lung Cancer.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_41590375,Targeting the Uncommon: A Case Report of Osimertinib Response in Advanced NSCLC Patient with Dual EGFR (E701fs and L702fs) Frameshift Deletions.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_40556846,Endocrine manifestations of lung adenocarcinoma with epidermal growth factor receptor mutation mimicking tuberculosis: A case report and literature review.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_41373672,Advances in Targeted Therapy for Non-Small-Cell Lung Cancer: Current Progress and Future Directions.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_41035623,Long-term Survival in Lung Cancer With Brain Metastases and Coronary Artery Stenosis: A Case Report.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_40535673,"Cadherin family genes in non-small cell lung cancer: implications for diagnosis, prognosis, and targeted therapy.",Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_41235705,B lymphocytes and tertiary lymphoid structures have a prognostic impact on penile squamous cell carcinoma.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_41303058,Redefining the Diagnostic and Therapeutic Landscape of Non-Small Cell Lung Cancer in the Era of Precision Medicine.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_40603329,Clinical relevance of the somatic mutational landscaping in predicting outcome of bladder cancer patients.,Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Saudi Arabia_41340013,"Epidemiology of Lung Cancer in Saudi Arabia, Saudi Cancer Registry, 2015-2020.",Saudi Arabia,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_42018150,Clinical and Molecular Characterization of a Rare EGFR cis Compound L833V/H835L Mutation in Non-Small Cell Lung Cancer.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41694838,Brain Metastasis After Curative Resection of Non-small Cell Lung Cancer: A Systematic Review and Meta-Analysis.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41325571,Amivantamab Plus Lazertinib in Atypical &lt;i&gt;EGFR&lt;/i&gt;-Mutated Advanced Non-Small Cell Lung Cancer: Results From CHRYSALIS-2.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41815740,Amivantamab Monotherapy for Lung Adenocarcinoma With Leptomeningeal Seeding: A Case Report.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41585239,Prolonged survival in EGFR exon 20 insertion mutant lung adenocarcinoma: case report of sequential osimertinib and furmonertinib with research trend analysis.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41173494,Artificial intelligence-powered spatial analysis of tumor microenvironment in patients with non-small cell lung cancer with acquired resistance to EGFR tyrosine kinase inhibitor.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41697515,Treatment Patterns and Clinical Outcomes in Unresectable Stage III EGFR-Mutated Non-Small Cell Lung Cancer in China.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_42170254,The resistance landscape of EGFR tyrosine kinase inhibitors in advanced non-small cell lung cancer: molecular mechanisms and novel therapeutic strategies.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41821091,Efficacy and safety of neoadjuvant targeted therapy in non-small cell lung cancer: a systematic review and meta-analysis.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_South Korea_41367553,Unveiling the clinical impact of plasma-only mutations in non-small cell lung cancer: a Korean multicenter experience.,South Korea,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
